login_attempts,failed_logins,data_transferred_MB,session_duration_min,threat_flag,anomaly_score
4,2,58.56691870325238,9.428763751335973,0,1
1,2,67.96044208266184,20.6869935337644,0,1
3,1,36.698104844464964,26.56031171891407,0,1
3,2,62.63513042833149,13.29297115933073,0,1
2,2,45.22296284025571,20.748663672540246,0,1
3,0,53.47882531202234,24.927159029346434,0,1
2,0,33.458539694267024,25.45569316598242,0,1
3,3,55.24035017344856,26.399005861379155,0,1
0,1,29.946876031839373,10.658730843272483,0,-1
2,0,53.13935072310166,22.52465477305905,0,1
4,1,52.57256047029337,12.472174074526974,0,1
2,2,51.910076342954675,15.008339317137644,0,1
1,1,42.65089849367071,24.105611298042533,0,1
3,3,55.49526674429644,20.790235609258083,0,1
4,1,53.91081509416717,23.631680371196868,0,1
4,0,47.9004721635888,15.354416975991509,0,1
1,2,56.71850307175194,27.368015550814384,0,1
2,0,49.043958534344945,23.441669669205254,0,1
3,1,55.28777158908762,24.446490596467296,0,1
2,2,48.7412067260591,14.599166119424321,0,1
3,3,52.16701991109541,25.857006201063093,0,1
4,1,55.747229410752624,18.419192116797984,0,1
1,0,46.02087426381965,16.943868649273046,0,1
3,0,37.661634137458044,23.127317700228307,0,1
3,2,52.76079005548154,22.916058873939694,0,1
3,1,61.893913786129296,15.765905761213311,0,1
5,0,52.99150972957446,30.2815050509626,0,1
0,2,53.18142314696373,29.071752881948875,0,1
1,0,49.578238935033596,23.025175704058846,0,1
4,3,57.39118652773201,22.15201711365844,0,1
3,3,48.14064583862063,21.64893113130148,0,1
1,0,45.46101218873138,12.250016869906643,0,1
7,1,61.05298252874866,20.564036939607313,0,1
3,1,44.694616817073175,20.49770790947874,0,1
4,0,58.89470946451749,17.119941568808095,0,1
2,1,61.059354619577086,18.45325413999208,0,1
1,2,55.668169320620606,8.093538026422637,0,1
4,1,37.507644804273674,14.513635349375045,0,1
4,1,50.27154909222497,24.60913145753645,1,1
1,0,47.98000002941383,28.655984508196806,0,1
2,0,45.04000744664687,15.283096573521146,0,1
3,0,51.42751587346427,20.914243274879695,0,1
5,4,57.692063474975484,25.491911646986583,0,1
5,0,45.41447339868802,17.39892487052623,0,1
3,0,48.28617325726326,23.381240886173078,0,1
2,0,47.58941066168013,19.831051522099198,0,1
3,1,61.63871045544312,25.952009942126743,0,1
3,1,47.42899382189413,13.587746301656884,0,1
1,0,37.65594342238254,14.477116856161734,0,1
6,0,34.265651610094864,21.397695844714054,0,1
1,0,53.627295665659695,20.481030499502186,0,1
5,1,42.39318260114098,19.718380517533348,0,1
4,1,56.68724505272478,22.879170801022415,0,1
3,0,36.687800114928685,15.34675217721132,0,1
2,2,44.61087833389392,13.152821941892856,0,1
3,1,36.69431150479851,17.49945945985637,0,1
2,0,54.346107155489236,18.058607206509507,0,1
6,2,56.4884754062465,18.581264094710445,0,1
2,0,53.386251576366,26.345228556769385,0,1
6,1,39.14063679596157,23.852086233996047,1,1
3,0,42.54236255889334,22.666199345777144,0,1
0,2,52.34313988611554,21.109997973146555,0,1
5,2,33.12258591875636,17.829057721422224,0,1
0,2,47.58865055612097,15.730274216082774,0,1
6,0,65.16905353335882,14.014212896539895,0,1
2,2,48.20044450819625,16.527465747646623,0,1
4,2,35.114553609680485,19.78539005819506,0,1
3,2,43.92590752323865,14.225078999086666,0,1
5,1,43.693076743224246,20.847598788683047,0,1
8,1,71.40308779836562,19.027809363821774,0,-1
4,0,66.65679080513895,18.013507942283987,0,1
1,1,57.30935434101578,25.807664506058185,0,1
3,2,46.56924069258602,7.6969068888863434,0,1
0,1,62.00629660979723,18.08135227357535,0,1
0,1,38.665403609495414,8.23781277185261,0,1
2,1,60.76575315244259,21.19281336464721,0,1
4,1,59.27973537420044,23.81090791599463,0,1
1,1,48.48654265350719,13.244468978930993,0,1
5,0,61.39186313350772,13.884712080543048,0,1
3,1,45.5277887053615,11.508500841447722,0,1
0,3,37.349144019017665,20.318209963565838,0,1
4,1,59.77965012999921,18.296058618979863,0,1
1,1,49.14757070860541,18.606726348042034,0,1
6,1,56.01780603298668,18.160141802570593,0,1
3,1,68.20886591559406,15.132004678160305,0,1
1,0,42.777459276037035,25.659370119480183,0,1
1,0,48.56620495160025,21.361703400658136,0,1
0,1,65.69634504577714,14.07668231611198,0,1
3,3,56.687317308552835,16.497265920837492,0,1
2,3,43.00217255795404,15.639656127662622,0,1
4,1,40.44982296460521,27.029639517365307,0,1
5,0,44.71919359896654,23.556096363414326,0,1
1,1,42.61585295197122,19.367552715387237,0,1
0,0,52.373481194895305,28.536105924769295,0,1
5,3,50.78434507197599,27.26021797599592,0,1
5,1,52.792377542753506,18.84644552929115,0,1
1,1,41.591871984402175,17.947173389380954,0,1
0,0,49.29166092474745,18.188180220513257,0,1
2,1,29.443002260437833,15.236267020155346,0,1
2,0,51.450063173613664,28.669872242335813,0,1
2,1,61.75440644955865,14.967937484705613,0,1
6,0,35.7525409065382,24.341521577137197,0,1
6,0,54.83428230647461,23.452715654544146,0,1
5,0,43.88985648239437,18.47567010888217,0,1
5,0,58.0250115369337,29.050225518322254,0,1
0,1,51.58647451212279,12.204518394592357,0,1
2,1,54.047041126604405,19.60154349510555,0,1
5,1,50.64823898755441,17.55479917529748,0,1
5,2,63.28331806384353,24.802965751354265,0,1
1,0,53.47410477695102,21.76782932187584,0,1
4,2,42.94576285997549,11.363524106667537,0,1
3,0,50.98715052321003,26.197397218732263,0,1
2,0,46.3111895703395,22.427308614622838,0,1
2,1,51.623999065195896,14.822540690185345,0,1
2,0,45.80230287633187,18.25160447606804,0,1
6,1,43.231892644536856,13.500575425139589,0,1
4,0,51.992722127484456,19.145809871917603,0,1
1,0,50.55789628616554,20.75058983679911,0,1
1,3,60.63955845045847,18.32676420683026,0,1
1,0,45.85044120867187,17.747677500635728,0,1
5,0,30.19146152504693,11.936298154744106,0,1
3,1,46.36129201536687,21.68620730751604,0,1
